name,image,url,power,size,offers
be quiet! SFX L Power 500 W 80+ Gold Certified Fully Modular SFX Power Supply (BN214),https://cdna.pcpartpicker.com/static/forever/images/product/933b1005478f139d7caf504efce06dad.256p.jpg,https://pcpartpicker.com/product/vJx2FT/be-quiet-sfx-l-power-500-w-80-gold-certified-fully-modular-sfx-power-supply-bn214,500,SFX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""62"", ""url"": ""https://www.gputracker.eu/si-click/6/3637320/be-quiet-system-power-9-cm-500-watt-atx-120mm-luft""}, {""retailer"": ""pskmegastore.com"", ""price"": ""73"", ""url"": ""https://www.gputracker.eu/si-click/6/3111559/be-quiet-system-power-9-500w-cm-unite-dalimentatio""}, {""retailer"": ""computeruniverse.net"", ""price"": ""98"", ""url"": ""https://www.gputracker.eu/si-click/6/3637353/be-quiet-sfx-l-power-500-watt-netzteil-fur-itx""}, {""retailer"": ""pskmegastore.com"", ""price"": ""111"", ""url"": ""https://www.gputracker.eu/si-click/6/3689503/be-quiet-sfx-l-power-unite-dalimentation-denergie-""}]"
Thermaltake Smart 500 W 80+ Certified ATX Power Supply (PS-SPD-0500NPCWUS-W),https://m.media-amazon.com/images/I/41TubKs3apL.jpg,https://pcpartpicker.com/product/Wbhj4D/thermaltake-smart-500w-80-certified-atx-power-supply-ps-spd-0500npcwus-w,500,ATX,"[{""retailer"": ""pskmegastore.com"", ""price"": ""52"", ""url"": ""https://www.gputracker.eu/si-click/6/3689429/thermaltake-smart-w3-unite-dalimentation-denergie-""}]"
be quiet! Pure Power 11 500 W 80+ Gold Certified ATX Power Supply (BN901),https://cdna.pcpartpicker.com/static/forever/images/product/75b886b7451adb934a7febcac13f4eb7.256p.jpg,https://pcpartpicker.com/product/cTfhP6/be-quiet-pure-power-11-500-w-80-gold-certified-atx-power-supply-bn901,500,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""62"", ""url"": ""https://www.gputracker.eu/si-click/6/3637320/be-quiet-system-power-9-cm-500-watt-atx-120mm-luft""}, {""retailer"": ""pskmegastore.com"", ""price"": ""73"", ""url"": ""https://www.gputracker.eu/si-click/6/3111559/be-quiet-system-power-9-500w-cm-unite-dalimentatio""}, {""retailer"": ""computeruniverse.net"", ""price"": ""98"", ""url"": ""https://www.gputracker.eu/si-click/6/3637353/be-quiet-sfx-l-power-500-watt-netzteil-fur-itx""}, {""retailer"": ""pskmegastore.com"", ""price"": ""111"", ""url"": ""https://www.gputracker.eu/si-click/6/3689503/be-quiet-sfx-l-power-unite-dalimentation-denergie-""}]"
Cooler Master Elite V3 500 W ATX Power Supply (MPW-5001-ACAAN1-US),https://m.media-amazon.com/images/I/41H9UtqeZkL.jpg,https://pcpartpicker.com/product/dmTPxr/cooler-master-elite-v3-500-w-atx-power-supply-mpw-5001-acaan1,500,ATX,"[{""retailer"": ""pskmegastore.com"", ""price"": ""60"", ""url"": ""https://www.gputracker.eu/si-click/6/2858329/cooler-master-elite-nex-white-230v-500-unite-dalim""}]"
Thermaltake Smart RGB 230V 500 W 80+ Certified ATX Power Supply (PS-SPR-0500NHSAWE-1),https://cdna.pcpartpicker.com/static/forever/images/product/e13ae98063169c383ecf961260edc88b.256p.jpg,https://pcpartpicker.com/product/J3fhP6/thermaltake-smart-rgb-230v-500-w-80-certified-atx-power-supply-ps-spr-0500nhsawe-1,500,ATX,"[{""retailer"": ""pskmegastore.com"", ""price"": ""52"", ""url"": ""https://www.gputracker.eu/si-click/6/3689429/thermaltake-smart-w3-unite-dalimentation-denergie-""}]"
Cooler Master MWE Bronze 500 W 80+ Bronze Certified ATX Power Supply (MPX-5001-ACAAB-US),https://cdna.pcpartpicker.com/static/forever/images/product/02a69b2e464345c1eaf7d8bb9bc5f36d.256p.jpg,https://pcpartpicker.com/product/GMZzK8/cooler-master-mwe-bronze-500-w-80-bronze-certified-atx-power-supply-mpx-5001-acaab-us,500,ATX,"[{""retailer"": ""pskmegastore.com"", ""price"": ""60"", ""url"": ""https://www.gputracker.eu/si-click/6/2858329/cooler-master-elite-nex-white-230v-500-unite-dalim""}]"
be quiet! System Power 9 500 CM 500 W 80+ Bronze Certified Semi-modular ATX Power Supply (BN301),https://cdna.pcpartpicker.com/static/forever/images/product/6bdaac89a1675f66238a17335eb22cd6.256p.jpg,https://pcpartpicker.com/product/pyFKHx/be-quiet-system-power-9-cm-500-w-80-bronze-certified-semi-modular-atx-power-supply-bn301,500,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""62"", ""url"": ""https://www.gputracker.eu/si-click/6/3637320/be-quiet-system-power-9-cm-500-watt-atx-120mm-luft""}, {""retailer"": ""pskmegastore.com"", ""price"": ""73"", ""url"": ""https://www.gputracker.eu/si-click/6/3111559/be-quiet-system-power-9-500w-cm-unite-dalimentatio""}, {""retailer"": ""computeruniverse.net"", ""price"": ""98"", ""url"": ""https://www.gputracker.eu/si-click/6/3637353/be-quiet-sfx-l-power-500-watt-netzteil-fur-itx""}, {""retailer"": ""pskmegastore.com"", ""price"": ""111"", ""url"": ""https://www.gputracker.eu/si-click/6/3689503/be-quiet-sfx-l-power-unite-dalimentation-denergie-""}]"
Thermaltake TR2 500 W ATX Power Supply (TR-500),https://images-na.ssl-images-amazon.com/images/I/41yjY3yXTgL.jpg,https://pcpartpicker.com/product/bb3RsY/thermaltake-power-supply-tr500,500,ATX,"[{""retailer"": ""pskmegastore.com"", ""price"": ""48"", ""url"": ""https://www.gputracker.eu/si-click/6/3689436/thermaltake-tr2-s-unite-dalimentation-denergie-500""}]"
Cooler Master G500 500 W 80+ Gold Certified ATX Power Supply (MPW-5001-ACAAG-US),https://m.media-amazon.com/images/I/41Gi6yylvcL.jpg,https://pcpartpicker.com/product/N8VmP6/cooler-master-g500-500-w-80-gold-certified-atx-power-supply-mpw-5001-acaag-us,500,ATX,"[{""retailer"": ""pskmegastore.com"", ""price"": ""60"", ""url"": ""https://www.gputracker.eu/si-click/6/2858329/cooler-master-elite-nex-white-230v-500-unite-dalim""}]"
be quiet! System Power 9 500 W 80+ Bronze Certified ATX Power Supply (BN246),https://cdna.pcpartpicker.com/static/forever/images/product/7649110de6794d36c672cbe849689cad.256p.jpg,https://pcpartpicker.com/product/b37v6h/be-quiet-system-power-9-500-w-80-bronze-certified-atx-power-supply-bn246,500,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""62"", ""url"": ""https://www.gputracker.eu/si-click/6/3637320/be-quiet-system-power-9-cm-500-watt-atx-120mm-luft""}, {""retailer"": ""pskmegastore.com"", ""price"": ""73"", ""url"": ""https://www.gputracker.eu/si-click/6/3111559/be-quiet-system-power-9-500w-cm-unite-dalimentatio""}, {""retailer"": ""computeruniverse.net"", ""price"": ""98"", ""url"": ""https://www.gputracker.eu/si-click/6/3637353/be-quiet-sfx-l-power-500-watt-netzteil-fur-itx""}, {""retailer"": ""pskmegastore.com"", ""price"": ""111"", ""url"": ""https://www.gputracker.eu/si-click/6/3689503/be-quiet-sfx-l-power-unite-dalimentation-denergie-""}]"
