name,product_code,brand,image,url,socket,size,ram_slots,ram_type
ASRock Z790 PG LIGHTNING ATX LGA1700 Motherboard (Z790 PG LIGHTNING),Z790 PG LIGHTNING,ASRock,https://cdna.pcpartpicker.com/static/forever/images/product/9a3aa21f9bee4d159ab134cee40b7e2a.256p.jpg,https://pcpartpicker.com/product/MDGbt6/asrock-z790-pg-lightning-atx-lga1700-motherboard-z790-pg-lightning,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
MSI MPG Z790 CARBON WIFI ATX LGA1700 Motherboard (MPG Z790 CARBON WIFI),MPG Z790 CARBON WIFI,MSI,https://cdna.pcpartpicker.com/static/forever/images/product/36590754ecaedc708cd647160af63d72.256p.jpg,https://pcpartpicker.com/product/YhVmP6/msi-mpg-z790-carbon-wifi-atx-lga1700-motherboard-mpg-z790-carbon-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 256GB (UDIMM)",DDR5
Gigabyte Z790 UD AX ATX LGA1700 Motherboard (Z790 UD AX),Z790 UD AX,Gigabyte,https://cdna.pcpartpicker.com/static/forever/images/product/c794a02522d98299795e660e5c88616b.256p.jpg,https://pcpartpicker.com/product/xXxRsY/gigabyte-z790-ud-ax-atx-lga1700-motherboard-z790-ud-ax,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
MSI MAG Z690 TOMAHAWK WIFI ATX LGA1700 Motherboard (MAG Z690 TOMAHAWK WIFI),MAG Z690 TOMAHAWK WIFI,MSI,https://cdna.pcpartpicker.com/static/forever/images/product/b00223dd35a79e4d8e4a6dd626eac1c5.256p.jpg,https://pcpartpicker.com/product/nk8bt6/msi-mag-z690-tomahawk-wifi-atx-lga1700-motherboard-mag-z690-tomahawk-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
Asus TUF GAMING B760M-PLUS WIFI D4 Micro ATX LGA1700 Motherboard (TUF GAMING B760M-PLUS WIFI D4),TUF GAMING B760M-PLUS WIFI D4,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/3bd83927f70a99f317391f13be943f3f.256p.jpg,https://pcpartpicker.com/product/QkGbt6/asus-tuf-gaming-b760m-plus-wifi-d4-micro-atx-lga1700-motherboard-tuf-gaming-b760m-plus-wifi-d4,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
Asus ROG STRIX Z790-H GAMING WIFI ATX LGA1700 Motherboard (ROG STRIX Z790-H GAMING WIFI),ROG STRIX Z790-H GAMING WIFI,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/6612a5f3f9129c69313ef18ef003d6ff.256p.jpg,https://pcpartpicker.com/product/8ybTwP/asus-rog-strix-z790-h-gaming-wifi-atx-lga1700-motherboard-rog-strix-z790-h-gaming-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
MSI PRO Z690-A WIFI ATX LGA1700 Motherboard (PRO Z690-A WIFI),PRO Z690-A WIFI,MSI,https://cdna.pcpartpicker.com/static/forever/images/product/b92bb62d182daebc0d9f5494dd0b2b68.256p.jpg,https://pcpartpicker.com/product/K9Fbt6/msi-pro-z690-a-wifi-atx-lga1700-motherboard-pro-z690-a-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
MSI MAG Z790 TOMAHAWK WIFI DDR4 ATX LGA1700 Motherboard (MAG Z790 TOMAHAWK WIFI DDR4),MAG Z790 TOMAHAWK WIFI DDR4,MSI,https://cdna.pcpartpicker.com/static/forever/images/product/c597a817d68d2a0f048cc47d819817c9.256p.jpg,https://pcpartpicker.com/product/7dKKHx/msi-mag-z790-tomahawk-wifi-ddr4-atx-lga1700-motherboard-mag-z790-tomahawk-wifi-ddr4,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 256GB (UDIMM)",DDR5
MSI MAG B760 TOMAHAWK WIFI DDR4 ATX LGA1700 Motherboard (MAG B760 TOMAHAWK WIFI DDR4),MAG B760 TOMAHAWK WIFI DDR4,MSI,https://cdna.pcpartpicker.com/static/forever/images/product/782040348dfc95208f398830d485c09f.256p.jpg,https://pcpartpicker.com/product/cX92FT/msi-mag-b760-tomahawk-wifi-ddr4-atx-lga1700-motherboard-mag-b760-tomahawk-wifi-ddr4,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 256GB (UDIMM)",DDR5
NZXT N7 Z790 ATX LGA1700 Motherboard (N7-Z79XT-B1),N7-Z79XT-B1,NZXT,https://cdna.pcpartpicker.com/static/forever/images/product/e6b159f09228cc68e8276032a8530e5a.256p.jpg,https://pcpartpicker.com/product/QQXJ7P/nzxt-n7-z790-atx-lga1700-motherboard-n7-z79xt-b1,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 128GB (UDIMM)",DDR5
