name,core_count,core_clock,boost_clock,tdp,graphics,smt,brand,series,model,cpu_mark,thread_mark,socket,offers,image
AMD FX-4130,4,3.8,,125,,False,AMD,FX,4130,2703,1342,AM3+,[],
AMD FX-4150,4,4.0,4.1,125,,False,AMD,FX,4150,3327,1465,AM3+,[],
AMD FX-4170,4,4.2,,125,,False,AMD,FX,4170,3047,1469,AM3+,[],
AMD FX-4200,4,3.3,,125,,False,AMD,FX,4200,3119,1313,AM3+,[],
AMD FX-4300,4,3.8,,95,,False,AMD,FX,4300,2980,1476,AM3+,[],
AMD FX-4320,4,4.0,4.2,95,,False,AMD,FX,4320,3150,1564,AM3+,[],
AMD FX-4350,4,4.2,,125,,False,AMD,FX,4350,3279,1604,AM3+,[],
AMD FX-6100,6,3.3,,95,,False,AMD,FX,6100,3698,1318,AM3+,[],
AMD FX-6120,6,3.5,4.1,95,,False,AMD,FX,6120,3909,1413,AM3+,[],
AMD FX-6130,6,3.6,3.9,125,,False,AMD,FX,6130,4353,1390,AM3+,[],
AMD FX-6200,6,3.8,,125,,False,AMD,FX,6200,4075,1400,AM3+,[],
AMD FX-6300,6,3.5,,95,,False,AMD,FX,6300,4213,1486,AM3+,[],
AMD FX-6350,6,3.9,,125,,False,AMD,FX,6350,4619,1575,AM3+,[],
AMD FX-8100,8,2.8,,95,,False,AMD,FX,8100,4073,1154,AM3+,[],
AMD FX-8120,8,3.1,,125,,False,AMD,FX,8120,4630,1331,AM3+,[],
AMD FX-8140,8,3.2,4.1,95,,False,AMD,FX,8140,4860,1273,AM3+,[],
AMD FX-8150,8,3.6,,125,,False,AMD,FX,8150,5291,1433,AM3+,[],
AMD FX-8300,8,3.3,,95,,False,AMD,FX,8300,5336,1489,AM3+,[],
AMD FX-8310,8,3.4,4.3,95,,False,AMD,FX,8310,5065,1409,AM3+,[],
AMD FX-8320,8,3.5,,125,,False,AMD,FX,8320,5442,1465,AM3+,[],
AMD FX-8320E,8,3.2,4.0,95,,False,AMD,FX,8320E,5106,1432,AM3+,[],
AMD FX-8350,8,4.0,,125,,False,AMD,FX,8350,6071,1581,AM3+,[],
AMD FX-8370,8,4.0,4.3,125,,False,AMD,FX,8370,6148,1619,AM3+,[],
AMD FX-8370E,8,3.3,4.3,95,,False,AMD,FX,8370E,5329,1467,AM3+,[],
