name,image,url,brand,VRAM,model,vram_gb,g3d_mark,g2d_mark,tdp,product_code,offers
MSI Radeon RX 6900 XT GAMING X TRIO 16G Radeon RX 6900 XT 16 GB Video Card (RX 6900 XT GAMING X TRIO 16G),https://m.media-amazon.com/images/I/41qWD59dkcS.jpg,https://pcpartpicker.com/product/gKnypg/msi-radeon-rx-6900-xt-16-gb-gaming-x-trio-video-card-rx-6900-xt-gaming-x-trio-16g,Radeon,16,RX 6900 XT,16,26728,1048,300,RX 6900 XT GAMING X TRIO 16G,[]
Asus TUF GAMING OC Radeon RX 6900 XT 16 GB Video Card (TUF-RX6900XT-O16G-GAMING),https://cdna.pcpartpicker.com/static/forever/images/product/9c8eb4b9a8bd5c79a1ee793ae814b5fd.256p.jpg,https://pcpartpicker.com/product/LRNgXL/asus-radeon-rx-6900-xt-16-gb-tuf-gaming-oc-video-card-tuf-rx6900xt-o16g-gaming,Radeon,16,RX 6900 XT,16,26728,1048,300,TUF-RX6900XT-O16G-GAMING,[]
AMD ‎100-438373 Radeon RX 6900 XT 16 GB Video Card (100-438373),https://m.media-amazon.com/images/I/4178P0YUeJL.jpg,https://pcpartpicker.com/product/WjvdnQ/amd-radeon-rx-6900-xt-16-gb-video-card-100-438373,Radeon,16,RX 6900 XT,16,26728,1048,300,100-438373,[]
PowerColor Red Devil Ultimate Radeon RX 6900 XT 16 GB Video Card (AXRX 6900XTU 16GBD6-3DHE/OC),https://cdna.pcpartpicker.com/static/forever/images/product/ba06bf8b8851b8161570303ab40b8e38.256p.jpg,https://pcpartpicker.com/product/pRgFf7/powercolor-radeon-rx-6900-xt-16-gb-red-devil-ultimate-video-card-axrx-6900xtu-16gbd6-3dheoc,Radeon,16,RX 6900 XT,16,26728,1048,300,AXRX 6900XTU 16GBD6-3DHE/OC,[]
Sapphire NITRO+ SE Radeon RX 6900 XT 16 GB Video Card (11308-03-20G),https://cdna.pcpartpicker.com/static/forever/images/product/fa8dea075bc9a6b68d41206935b662f6.256p.jpg,https://pcpartpicker.com/product/9QPQzy/sapphire-radeon-rx-6900-xt-16-gb-nitro-se-video-card-11308-03-20g,Radeon,16,RX 6900 XT,16,26728,1048,300,11308-03-20G,"[{""retailer"": ""Amazon.de"", ""price"": ""1265.58"", ""url"": ""https://geizhals.de/redir/AgAAAPjmKJZTbuljqPb4aLOWS5Pcc0rS_kEZ9pFWrAOzUTVRLCYpPPjV_InmSFYnLFI7CeEpT6VkVkQroY6ZXpWD5MJj4nUl43uBNONVZg1ajsxG_Qgb7hxoviGgLUtDuh4hDVaZHpYL79xX2D7dyT-fZE42DU3CDFxGZv2YcVdpql4EAPE_jwFA9CopPf8aAdN1RzrU9fG61DRYw3PyuDwYgJNYqukDiiSD0JHbjqw9UCF1HDnJcu03kXrqwfdsFXnAeg"", ""source"": ""geizhals""}]"
Gigabyte GAMING OC Radeon RX 6900 XT 16 GB Video Card (GV-R69XTGAMINGOC16GD),https://cdna.pcpartpicker.com/static/forever/images/product/08b9186a202c025f6779f1161f93bda3.256p.jpg,https://pcpartpicker.com/product/YfvdnQ/gigabyte-radeon-rx-6900-xt-16-gb-gaming-oc-video-card-gv-r69xtgamingoc16gd,Radeon,16,RX 6900 XT,16,26728,1048,300,GV-R69XTGAMINGOC16GD,[]
XFX Speedster SWFT 319 Radeon RX 6900 XT 16 GB Video Card (RX-69XTAQFD9),https://m.media-amazon.com/images/I/415w5OQ5haL.jpg,https://pcpartpicker.com/product/WnrRsY/xfx-radeon-rx-6900-xt-16-gb-speedster-swft-319-video-card-rx-69xtaqfd9,Radeon,16,RX 6900 XT,16,26728,1048,300,RX-69XTAQFD9,[]
ASRock Phantom Gaming D OC Radeon RX 6900 XT 16 GB Video Card (RX6900XT PGD 16GO),https://cdna.pcpartpicker.com/static/forever/images/product/78809a37cadf50ddd2e9fe9a172aa795.256p.jpg,https://pcpartpicker.com/product/CLWBD3/asrock-radeon-rx-6900-xt-16-gb-phantom-gaming-d-oc-video-card-rx6900xt-pgd-16go,Radeon,16,RX 6900 XT,16,26728,1048,300,RX6900XT PGD 16GO,[]
Gigabyte AORUS MASTER Radeon RX 6900 XT 16 GB Video Card (GV-R69XTAORUS M-16GD),https://cdna.pcpartpicker.com/static/forever/images/product/92eaeb59320924d1aa31585a68d695f6.256p.jpg,https://pcpartpicker.com/product/TCzhP6/gigabyte-radeon-rx-6900-xt-16-gb-aorus-master-video-card-gv-r69xtaorus-m-16gd,Radeon,16,RX 6900 XT,16,26728,1048,300,GV-R69XTAORUS M-16GD,[]
MSI Radeon RX 6900 XT GAMING Z TRIO 16G Radeon RX 6900 XT 16 GB Video Card (RX 6900 XT GAMING Z TRIO 16G),https://cdna.pcpartpicker.com/static/forever/images/product/753a377959fa04b4d9fb11f151845b9a.256p.jpg,https://pcpartpicker.com/product/GpvdnQ/msi-radeon-rx-6900-xt-16-gb-gaming-z-trio-video-card-rx-6900-xt-gaming-z-trio-16g,Radeon,16,RX 6900 XT,16,26728,1048,300,RX 6900 XT GAMING Z TRIO 16G,[]
